Code,Spp,Tow Date,Tow_ID,Tow_num,Picture Date,Time Start-End,Notes,Measurements
00800,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8.9
00801,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,9
00802,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,7.5
00803,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8.5
00804,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8
00805,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,9
00806,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,No right eye,6.5
00807,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,9
00808,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8
00809,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,7.5
00810,Micropogonias undulatus,"August 9, 1995",ICHP-95-0848,1,"June 6, 2022",0302-0332,,8.5
00811,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,7
00812,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,8
00813,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,6
00814,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,6
00815,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,11
00816,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,8.5
00817,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,9
00818,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,8.5
00819,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,10
00820,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,9
00821,Micropogonias undulatus,"August 9, 1995",ICHP-95-0849,2,"June 6, 2022",0334-0404,,7
00822,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7.5
00823,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,6
00824,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,10
00825,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,8
00826,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7
00827,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,10
00828,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,5
00829,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7
00830,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,No right eye,8
00831,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,8
00832,Micropogonias undulatus,"August 9, 1995",ICHP-95-0854,3,"June 7, 2022",0405-0435,,7
00833,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,11.5
00834,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,13
00835,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9
00836,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,10.5
00837,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9.5
00838,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9
00839,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,6
00840,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9
00841,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,10
00842,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,9.5
00843,Micropogonias undulatus,"September 14, 1995",ICHP-95-0864,1,"June 7, 2022",2008-2038,,10
00844,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,9
00845,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,7.5
00846,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,11
00847,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,5.5
00848,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,6
00849,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,10
00850,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,8
00851,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,9.5
00852,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,10
00853,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,11
00854,Micropogonias undulatus,"September 14, 1995",ICHP-95-0865,2,"June 7, 2022",,,13
00855,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,14
00856,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,12
00857,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,11
00858,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,7
00859,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,11
00860,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,12
00861,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,8.5
00862,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,11.5
00863,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,6.5
00864,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,10.5
00865,Micropogonias undulatus,"September 20, 1995",ICHP-95-0866,1,"June 7, 2022",0016-0046,,9.5
00866,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,15
00867,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,14.5
00868,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,13.5
00869,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,10
00870,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,5
00871,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,6
00872,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,12.5
00873,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,11
00874,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,15
00875,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,12
00876,Micropogonias undulatus,"September 20, 1995",ICHP-95-0867,2,"June 7, 2022",0048-0118,,13
00877,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,15
00878,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,13.5
00879,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,14
00880,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,12.5
00881,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,10
00882,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,12
00883,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,12
00884,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,8
00885,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,9
00886,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,9.5
00887,Micropogonias undulatus,"September 20, 1995",ICHP-95-0868,3,"June 8, 2022",0125-0155,,6.5
00888,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,15
00889,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,13.5
00890,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,12.5
00891,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,13
00892,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,11
00893,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,9
00894,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,10.5
00895,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,8.5
00896,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,10.5
00897,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,10
00898,Micropogonias undulatus,"September 28, 1995",ICHP-95-0869,1,"June 8, 2022",1933-2003,,8.5
00899,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,19
00900,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,17
00901,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,12
00902,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,13
00903,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,10
00904,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,10
00905,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,15.5
00906,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,11
00907,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,10
00908,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,9.5
00909,Micropogonias undulatus,"September 28, 1995",ICHP-95-0871,3,"June 8, 2022",2038-2108,,10
00910,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,8.3
00911,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,9
00912,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,6.8
00913,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,9.1
00914,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,9
00915,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,9.9
00916,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,Accidently fell and lost,9.2
00917,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,11.5
00918,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,11.5
00919,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,10.5
00920,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,10.6
00921,Micropogonias undulatus,"November 29, 1995",ICHP-95-0807,2,"June 17, 2022",2227-2257,,10.8