Spp,Tow_date,Code,Standardlength,Totallength,Depthatpec,Depthatanus,Bodyarea,Musclearea,Pulsearea,Bodywidth,Caudarea,Cauddepth,Caudheight,Eyediameter,Interoctdistance,SST
Micropogonias undulatus,1995-08-09,00800,8.6973,10.6178,2.6335,1.4799,14.9933,7.6609,12.2214,0.695,2.2777,0.6728,1.3695,0.7216,0.8037,21
Micropogonias undulatus,1995-08-09,00801,6.9768,8.241,2.0375,0.9295,9.4605,3.9852,6.5965,0.4681,1.4313,0.5904,1.072,0.4829,0.7216,21
Micropogonias undulatus,1995-08-09,00802,5.5096,6.2583,1.4228,0.8664,5.3059,2.5061,3.8496,0.3345,0.7061,0.382,0.7629,0.468,0.7247,21
Micropogonias undulatus,1995-08-09,00803,7.4312,8.8243,2.1203,1.0796,10.5366,5.3022,8.8205,0.4437,1.2864,0.6088,0.9284,0.6204,0.8734,21
Micropogonias undulatus,1995-08-09,00804,6.6676,7.0985,1.839,0.9805,8.6665,4.132,6.1694,0.3249,0.5647,0.5092,0.8599,0.4892,0.7759,21
Micropogonias undulatus,1995-08-09,00805,8.1331,9.7237,2.4224,1.2228,13.0869,5.3158,9.8234,0.4518,1.8825,0.7888,1.2396,0.6134,0.7895,21
Micropogonias undulatus,1995-08-09,00806,5.1929,6.0765,1.41,0.8021,5.2805,2.4245,4.319,0.3867,0.5568,0.3899,0.6725,0.4499,0.6563,21
Micropogonias undulatus,1995-08-09,00807,7.6911,8.5495,2.3732,1.1349,11.5904,4.3499,6.9577,0.4464,0.8247,0.5677,0.6485,0.6008,0.8299,21
Micropogonias undulatus,1995-08-09,00808,7.0502,8.0155,1.997,0.9547,8.8987,3.8047,6.9105,0.3658,1.1503,0.5883,1.0963,0.4946,0.6724,21
Micropogonias undulatus,1995-08-09,00809,6.4597,7.7491,2.0368,1.1112,9.3239,4.1563,6.9119,0.3303,1.0163,0.6049,0.8768,0.568,0.7666,21
Micropogonias undulatus,1995-08-09,00810,74.4721,91.469,21.4779,11.8592,1123.2207,481.7179,759.5112,0.36,144.518,6.978,9.0781,5.6818,0.8053,21
Micropogonias undulatus,1995-08-09,00811,5.7995,6.4099,1.4928,0.7626,5.9383,2.8103,4.3107,0.352,0.5141,0.4992,0.8695,0.421,0.7766,21
Micropogonias undulatus,1995-08-09,00812,7.1269,8.3815,2.069,0.9155,8.683,3.7976,6.0609,0.3231,0.8865,0.5508,0.7498,0.5278,0.6711,21
Micropogonias undulatus,1995-08-09,00813,4.9596,5.6585,1.2401,0.6017,4.1018,1.79,3.0776,0.3395,0.4202,0.3282,0.6571,0.4191,0.6784,21
Micropogonias undulatus,1995-08-09,00814,4.9327,5.8184,1.38,0.6605,4.5905,2.0141,3.2799,0.2866,0.5401,0.4057,0.7206,0.4333,0.5911,21
Micropogonias undulatus,1995-08-09,00815,9.4248,10.7935,2.4288,1.1145,14.6701,4.5681,8.5883,0.632,1.9348,0.6799,1.1275,0.636,0.7447,21
Micropogonias undulatus,1995-08-09,00816,7.3128,8.5887,2.0007,0.9343,9.8987,4.1629,7.4874,0.3713,1.2444,0.5537,1.2085,0.5806,0.8238,21
Micropogonias undulatus,1995-08-09,00817,7.5598,9.0851,1.9263,1.2669,10.0835,4.6162,7.4518,0.3782,1.5336,0.6299,1.0426,0.4642,0.6344,21
Micropogonias undulatus,1995-08-09,00818,6.8886,8.2395,2.0825,1.1479,9.9229,4.1314,6.8592,0.4179,1.4564,0.5696,0.9345,0.5922,0.6009,21
Micropogonias undulatus,1995-08-09,00819,8.7161,10.5962,2.4035,1.4098,15.3799,6.0698,10.3883,0.4535,2.0927,0.7415,1.0956,0.7731,0.8344,21
Micropogonias undulatus,1995-08-09,00820,6.9658,8.4285,1.9001,1.0776,9.4856,4.1797,6.8958,0.3905,1.33,0.5701,0.9416,0.519,0.691,21
Micropogonias undulatus,1995-08-09,00821,5.8065,6.6507,1.2249,0.4129,4.8649,1.5398,2.45,0.4076,0.5796,0.4306,0.8243,0.4755,0.6494,21
Micropogonias undulatus,1995-08-09,00822,6.2489,7.2776,1.5996,0.816,7.242,2.895,4.7344,0.3823,0.7335,0.4595,0.7439,0.489,0.6572,21
Micropogonias undulatus,1995-08-09,00823,4.497,5.3121,1.5096,0.7678,4.5971,1.7761,3.0157,0.3443,0.5079,0.3839,0.543,0.4219,0.4683,21
Micropogonias undulatus,1995-08-09,00824,9.1998,11.1283,2.7271,1.3903,18.9375,6.3013,11.1595,0.539,2.0469,0.7658,1.1761,0.7331,1.0489,21
Micropogonias undulatus,1995-08-09,00825,6.1835,7.3617,1.7699,0.9355,7.044,3.3463,5.7968,0.503,0.9089,0.4898,0.7932,0.49370000000000003,0.7379,21
Micropogonias undulatus,1995-08-09,00826,5.4362,6.5161,1.5677,0.8402,6.029,2.8017,4.8591,0.3866,0.9924,0.4863,0.8296,0.4818,0.6458,21
Micropogonias undulatus,1995-08-09,00827,8.4022,10.3683,2.505,1.3169,14.3071,6.2622,10.7532,0.5716,1.8934,0.7934,1.2133,0.651,0.8656,21
Micropogonias undulatus,1995-08-09,00828,43.5366,49.6919,14.2948,6.3427,413.055,161.0873,245.5227,0.3298,32.3531,2.9188,5.2727,3.6997,0.3784,21
Micropogonias undulatus,1995-08-09,00829,5.9252,6.9312,1.6649,0.8389,6.7194,2.8123,4.8651,0.3986,0.951,0.4188,0.8615,0.4631,0.6212,21
Micropogonias undulatus,1995-08-09,00830,6.6623,7.7168,1.7906,0.9537,8.5788,3.8202,6.6102,0.386,1.1432,0.5781,0.8973,0.5911,0.7489,21
Micropogonias undulatus,1995-08-09,00831,7.8236,9.2299,2.2208,1.1393,12.0537,4.9972,8.9347,0.4383,1.4625,0.5703,1.1758,0.5907,0.733,21
Micropogonias undulatus,1995-08-09,00832,5.9383,6.8026,1.6498,0.6798,5.9244,2.5703,4.7279,0.2798,0.7237,0.3549,0.854,0.4285,0.5397,21
Micropogonias undulatus,1995-09-14,00833,10.4424,13.0137,2.8435,2.1876,21.6168,10.2012,15.9318,0.8013,1.99,0.8947,1.1228,0.7671,1.0779,22
Micropogonias undulatus,1995-09-14,00834,12.1243,15.5852,3.3446,2.2792,29.9645,14.4012,23.8386,0.7429,5.7093,1.0294,1.8433,0.8945,1.2354,22
Micropogonias undulatus,1995-09-14,00835,8.9952,10.7447,2.3711,1.6067,14.7498,6.8287,9.8048,0.486,1.1519,0.6299,0.8551,0.4807,0.9299,22
Micropogonias undulatus,1995-09-14,00836,8.3884,10.6772,2.3528,1.6474,14.4398,7.1084,10.5721,0.5872,1.8228,0.7516,0.9622,0.5724,0.9025,22
Micropogonias undulatus,1995-09-14,00837,9.3814,11.1139,2.4816,1.7482,17.0365,8.8008,12.8578,0.4548,1.8474,0.7694,1.1895,0.5547,0.6376,22
Micropogonias undulatus,1995-09-14,00838,9.2649,11.2217,2.6237,1.7454,16.3965,8.5139,12.3429,0.4221,1.6351,0.8176,0.8975,0.6454,0.5146,22
Micropogonias undulatus,1995-09-14,00839,6.5054,6.826,1.8033,1.2517,8.9135,4.1801,5.4666,0.3003,0.2748,0.5817,0.7945,0.441,0.5625,22
Micropogonias undulatus,1995-09-14,00840,9.1244,10.5676,2.37,1.6562,15.8645,8.5761,12.4162,0.4687,1.9084,0.935,1.3316,0.6123,0.8298,22
Micropogonias undulatus,1995-09-14,00841,9.7908,11.7637,2.482,1.8505,18.0565,7.9933,11.7381,0.614,2.0443,0.9252,1.1064,0.5738,0.7121,22
Micropogonias undulatus,1995-09-14,00842,9.5893,11.667,2.4971,1.8867,17.4629,8.1656,12.657,0.5411,2.2395,0.888,1.3191,0.652,0.7551,22
Micropogonias undulatus,1995-09-14,00843,10.5023,12.9107,2.748,2.0611,21.0132,10.7691,16.7146,0.4278,2.6517,0.8916,1.2892,0.7894,0.6974,22
Micropogonias undulatus,1995-09-14,00844,8.4003,10.1798,2.3829,1.5257,14.5185,7.182,10.7533,0.3945,1.3346,0.822,0.9597,0.6427,0.6371,22
Micropogonias undulatus,1995-09-14,00845,6.3415,7.1047,1.5113,1.1188,7.1625,3.53,4.678,0.486,0.4919,0.5308,0.7033,0.4816,0.614,22
Micropogonias undulatus,1995-09-14,00846,10.3749,12.8277,2.8366,2.0742,22.4815,10.3396,14.7494,0.7771,2.1986,0.9072,1.2036,0.7387,0.8077,22
Micropogonias undulatus,1995-09-14,00847,4.6423,5.2856,1.444,1.054,5.0801,2.5106,3.4339,0.4478,0.4166,0.5283,0.6553,0.473,0.4523,22
Micropogonias undulatus,1995-09-14,00848,5.0493,5.7446,1.51,1.0012,5.5207,2.5635,3.3249,0.3596,0.3504,0.4643,0.4841,0.4179,0.46,22
Micropogonias undulatus,1995-09-14,00849,9.8903,11.9288,2.711,1.8134,19.3331,8.3533,12.4792,0.5047,1.6843,0.8454,1.1011,0.629,0.7578,22
Micropogonias undulatus,1995-09-14,00850,7.972,9.4827,2.1788,1.4088,12.3443,6.0266,8.4871,0.2969,0.9922,0.639,0.8697,0.5309,0.5748,22
Micropogonias undulatus,1995-09-14,00851,7.6138,9.0996,1.8722,1.2739,10.4424,5.4458,7.7969,0.5285,1.1196,0.6424,0.8722,0.4956,0.81,22
Micropogonias undulatus,1995-09-14,00852,10.2338,12.296,2.8105,2.0327,20.2102,10.4899,14.3718,0.5841,1.602,0.8067,0.9687,0.7126,0.875,22
Micropogonias undulatus,1995-09-14,00853,11.2148,13.0321,2.8363,1.9838,24.1859,9.7341,14.2323,0.6961,1.7637,0.884,1.147,0.7581,1.0151,22
Micropogonias undulatus,1995-09-14,00854,11.7934,14.6235,3.0412,2.1154,27.4061,10.5721,16.5422,0.791,3.0196,0.9115,1.348,0.7572,0.9999,22
Micropogonias undulatus,1995-09-20,00855,11.7985,14.951,3.3792,2.2848,27.8743,12.695,20.0695,0.7635,3.3909,1.0493,1.4628,0.9311,1.0549,18
Micropogonias undulatus,1995-09-20,00856,11.4514,14.3505,3.2621000000000002,2.4227,28.447,11.9256,18.9183,0.7518,3.4489,1.0255,1.4259,0.7878,1.1957,18
Micropogonias undulatus,1995-09-20,00857,10.4901,13.1848,3.0523,2.0671,22.3301,9.8087,16.119,0.677,3.5639,1.0106,1.4961,0.7906,0.7876,18
Micropogonias undulatus,1995-09-20,00858,6.104,6.9442,1.6374,1.0729,7.4208,3.3608,4.675,0.403,0.6459,0.5727,0.7564,0.5063,0.6421,18
Micropogonias undulatus,1995-09-20,00859,10.6211,13.1419,2.8984,2.137,22.1111,10.1013,15.5713,0.6971,2.9208,0.9582,1.4498,0.7455,1.0948,18
Micropogonias undulatus,1995-09-20,00860,11.2083,14.1503,3.2432,2.3006,24.7289,12.2902,19.9157,0.6985,4.2944,0.9995,1.7385,0.8461,1.22,18
Micropogonias undulatus,1995-09-20,00861,8.9945,11.0492,2.3571,1.667,15.4369,7.5508,11.4078,0.566,1.7015,0.8189,1.1878,0.67490000000000006,0.8679,18
Micropogonias undulatus,1995-09-20,00862,10.3978,12.8791,2.7893,1.8996,20.5879,8.751,12.5436,0.6718,1.3982,0.8723,0.9859,0.7094,0.9919,18
Micropogonias undulatus,1995-09-20,00863,6.0877,7.0784,1.7711,1.1897,7.7978,3.8248,5.3088,0.4835,0.668,0.6339,0.7851,0.4868,0.4328,18
Micropogonias undulatus,1995-09-20,00864,10.4201,12.5829,2.9275,2.1518,22.4398,10.2307,16.0558,0.6266,2.4799,0.929,1.221,0.7171,0.7813,18
Micropogonias undulatus,1995-09-20,00865,8.6938,10.4711,2.0842,1.6211,14.0343,6.4279,9.4148,0.5321,1.5349,0.7773,0.9875,0.5538,0.7795,18
Micropogonias undulatus,1995-09-20,00866,13.9517,18.3576,4.0775,2.8792,38.6067,20.9919,36.4282,1.0536,8.1977,1.3034,2.1651,1.1233,1.448,18
Micropogonias undulatus,1995-09-20,00867,14.0854,17.2386,3.9584,2.7238,40.5437,17.356,26.9309,0.8909,4.7087,1.179,1.6624,0.9541,1.1459,18
Micropogonias undulatus,1995-09-20,00868,12.1326,15.6403,3.5915,2.6087,30.6317,14.9441,26.5751,0.8466,6.0626,1.1386,1.9004,0.9985,1.0629,18
Micropogonias undulatus,1995-09-20,00869,10.8886,14.3551,3.4937,2.2139,25.5238,12.4894,19.7925,0.8849,2.8279,0.9019,1.3767,0.8517,0.7376,18
Micropogonias undulatus,1995-09-20,00870,4.906,6.0817,1.3093,0.8449,4.3375,2.0025,3.1934,0.3067,0.5953,0.3165,0.6184,0.4336,0.4101,18
Micropogonias undulatus,1995-09-20,00871,5.911,6.0988,1.6154,1.1332,7.4022,3.5681,4.5469,0.476,0.2003,0.664,0.6203,0.4636,0.5318,18
Micropogonias undulatus,1995-09-20,00872,11.9677,14.6715,3.3027,2.4043,30.4508,12.2411,18.7401,0.6802,2.3647,1.1214,1.38,0.8338,1.279,18
Micropogonias undulatus,1995-09-20,00873,10.3775,12.9444,2.7758,2.0419,20.6977,9.757,14.3941,0.6326,2.3325,0.8225,1.2563,0.7904,0.8909,18
Micropogonias undulatus,1995-09-20,00874,13.9385,17.7288,3.7306,2.5162,38.1533,14.8645,23.8296,0.9478,4.3126,1.1118,1.6469,0.97,1.2457,18
Micropogonias undulatus,1995-09-20,00875,11.0001,13.879,3.1996000000000002,2.339,25.5308,12.7165,19.0729,0.7105,2.9745,0.8902,0.9448,0.822,0.9528,18
Micropogonias undulatus,1995-09-20,00876,12.8733,16.9893,3.9826,2.5468,35.0556,16.5574,25.7853,0.7012,4.1303,0.9944,1.4932,1.0524,1.0244,18
Micropogonias undulatus,1995-09-20,00877,12.81,16.2462,3.3988,2.4292,31.3721,15.2558,23.4197,0.6113,3.6114,1.0316,1.454,0.9547,1.0571,18
Micropogonias undulatus,1995-09-20,00878,12.0242,15.0738,3.2919,2.2666,27.9233,11.7795,19.6043,0.6368,3.3873,0.9198,1.5181,0.802,0.7706,18
Micropogonias undulatus,1995-09-20,00879,13.3725,17.2722,3.4793,2.3874,33.4757,14.619,26.8168,0.7697,6.3331,1.1266,1.865,1.0185,1.3373,18
Micropogonias undulatus,1995-09-20,00880,12.5069,15.4652,3.4212,2.6089,31.368,15.5299,21.8866,0.8245,3.3163,1.0554,1.4423,0.9007,1.0986,18
Micropogonias undulatus,1995-09-20,00881,9.3502,11.3304,2.7249,1.7843,17.7492,9.0371,12.1733,0.5838,1.5314,0.8708,1.1528,0.6856,0.9602,18
Micropogonias undulatus,1995-09-20,00882,10.7118,12.9009,2.7637,1.9808,22.1826,10.233,16.087,0.5958,2.6394,0.7748,1.2564,0.8062,0.9671,18
Micropogonias undulatus,1995-09-20,00883,12.4902,15.7415,3.1947,2.1859,31.392,12.0824,19.308,0.4105,2.8868,1.1633,1.508,0.8684,0.8695,18
Micropogonias undulatus,1995-09-20,00884,6.9173,8.3345,1.6571,1.1858,9.0916,4.242,6.5095,0.4334,0.9208,0.6537,0.9524,0.4903,0.7021,18
Micropogonias undulatus,1995-09-20,00885,8.2836,9.9609,2.038,1.5203,13.0431,6.1289,9.2639,0.3338,1.2417,0.7656,1.1827,0.5144,0.7254,18
Micropogonias undulatus,1995-09-20,00886,8.4372,10.4415,2.1508,1.6093,13.2106,5.6923,9.088,0.4873,1.621,0.6537,0.9007,0.6007,0.8544,18
Micropogonias undulatus,1995-09-20,00887,5.5363,6.3374,1.6026,1.0019,6.809,3.1702,4.2526,0.5145,0.5448,0.6773,0.7533,0.5092,0.615,18
Micropogonias undulatus,1995-09-28,00888,13.6634,18.1379,3.7712,2.8783,36.1619,18.4484,33.405,0.7139,8.752,1.3108,2.2268,1.0148,1.224,18
Micropogonias undulatus,1995-09-28,00889,13.889,17.3014,3.6349,2.5421,33.9249,15.0173,29.4373,0.6709,7.2496,1.0214,1.9678,1.1017,0.9902,18
Micropogonias undulatus,1995-09-28,00890,12.3777,14.7252,3.2858,2.5509,28.7086,13.5161,20.4965,0.4612,2.8731,0.9595,1.4452,0.8678,1.0459,18
Micropogonias undulatus,1995-09-28,00891,12.9239,15.923400000000001,3.3692,2.6089,28.8323,15.3994,26.3932,0.573,6.7745,0.8678,2.0055,0.8805,1.0321,18
Micropogonias undulatus,1995-09-28,00892,9.6904,11.808,2.5674,1.8742,17.6527,9.1819,14.124,0.4984,1.9899,0.7708,1.2539,0.7498,0.9296,18
Micropogonias undulatus,1995-09-28,00893,8.0605,10.3679,2.1231,1.4378,13.0547,6.6494,10.2197,0.5087,2.0092,0.7087,1.1224,0.6204,0.9146,18
Micropogonias undulatus,1995-09-28,00894,10.0747,12.8083,2.6072,1.9467,18.8721,9.4909,15.6852,0.4873,3.5778,0.8432,1.4865,0.7439,1.0654,18
Micropogonias undulatus,1995-09-28,00895,7.4948,9.4353,1.9549,1.2541,11.1166,5.0238,7.4032,0.516,1.0332,0.6593,1.0652,0.5336,0.7914,18
Micropogonias undulatus,1995-09-28,00896,10.7827,13.5939,2.8495,2.1081,21.3229,9.6147,14.8636,0.4984,2.15,0.8473,1.0192,0.7339,0.8167,18
Micropogonias undulatus,1995-09-28,00897,8.4504,10.5527,2.2706,1.6216,14.1294,6.8134,10.3226,0.449,1.4475,0.6808,1.0659,0.6352,0.8616,18
Micropogonias undulatus,1995-09-28,00898,7.7135,9.2276,1.992,1.3493,10.2828,4.9786,7.969,0.4916,1.8252,0.6722,1.0167,0.5571,0.9784,18
Micropogonias undulatus,1995-09-28,00899,19.1205,24.0673,5.4025,3.8831,70.2779,38.0057,61.0174,0.9529,11.0447,1.633,2.3253,1.5589,1.5266,18
Micropogonias undulatus,1995-09-28,00900,14.5897,19.2772,4.0572,2.9409,40.4477,19.8103,33.0355,0.8656,6.3553,1.1695,1.8302,1.1468,1.4637,18
Micropogonias undulatus,1995-09-28,00901,11.3942,14.6383,3.2387,2.1954,26.9856,13.0584,21.8346,0.6713,4.9065,1.1209,1.6349,0.9182,1.3903,18
Micropogonias undulatus,1995-09-28,00902,12.1177,15.5398,3.169,2.4474,27.3203,13.3102,24.1578,0.6705,5.4721,0.9381,1.6989,1.0263,1.3463,18
Micropogonias undulatus,1995-09-28,00903,9.5371,11.9162,2.5592,1.8843,17.4098,8.1475,13.3707,0.5818,2.0574,0.7764,1.1651,0.6746,0.7736,18
Micropogonias undulatus,1995-09-28,00904,9.4782,10.7906,2.2729,1.6962,16.0916,7.6665,11.3627,0.4059,1.1516,0.8145,1.1139,0.6089,0.6619,18
Micropogonias undulatus,1995-09-28,00905,14.5961,19.152,3.8962,2.9366,39.6736,19.6447,33.1815,0.6419,7.5573,1.3595,2.0246,1.1209,1.2088,18
Micropogonias undulatus,1995-09-28,00906,10.3486,12.9117,2.6325,2.0603,19.8898,9.5926,16.2141,0.4654,3.6344,0.7426,1.3927,0.7013,0.8648,18
Micropogonias undulatus,1995-09-28,00907,8.8493,10.6895,2.5201,1.8843,16.0317,8.161,11.4521,0.445,1.2285,0.7577,0.9814,0.593,0.9132,18
Micropogonias undulatus,1995-09-28,00908,9.038,10.7159,2.6217,1.82,16.6111,8.0303,12.2549,0.4187,2.1478,0.8031,1.1888,0.6267,0.9489,18
Micropogonias undulatus,1995-09-28,00909,9.6604,11.9933,2.4887,1.766,18.2644,7.8566,12.6165,0.5929,1.7055,0.8148,1.0897,0.653,0.9135,18
Micropogonias undulatus,1995-11-29,00910,8.838,10.5788,2.2681,1.583,14.5813,6.6541,11.6426,0.4459,2.1066,0.6193,1.365,0.6082,0.8382,7
Micropogonias undulatus,1995-11-29,00911,9.129,10.844,2.4856,1.8267,17.2616,8.1011,13.0921,0.5379,2.1713,0.8285,1.2879,0.6295,0.9584,7
Micropogonias undulatus,1995-11-29,00912,6.814,8.3656,1.9357,1.2386,9.5718,4.6481,7.4103,0.5237,1.4856,0.6329,1.0145,0.5369,0.691,7
Micropogonias undulatus,1995-11-29,00913,9.4256,11.382,2.354,1.6847,16.3898,8.6612,13.4537,0.4868,2.4734,0.7919,1.4294,0.5937,1.0342,7
Micropogonias undulatus,1995-11-29,00914,9.3637,11.6707,2.5028,1.8654,17.7906,8.6324,12.6923,0.5075,1.6082,0.8213,1.0344,0.6332,0.8145,7
Micropogonias undulatus,1995-11-29,00915,8.9492,11.032,2.606,1.6729,16.1007,7.7152,12.4873,0.413,2.2303,0.7438,1.3615,0.6203,0.9033,7
Micropogonias undulatus,1995-11-29,00917,11.0392,13.5331,2.8366,1.9706,22.2113,11.2399,19.9467,0.5591,3.5319,0.9055,1.4809,0.6814,0.8607,7
Micropogonias undulatus,1995-11-29,00918,10.2227,12.8994,2.6906,1.9008,18.9372,9.4277,15.2311,0.562,2.1567,0.8304,1.212,0.6466,1.0217,7
Micropogonias undulatus,1995-11-29,00919,10.2174,11.6973,2.5607,1.9006,18.846800000000002,9.2886,15.1566,0.6391,2.5584,0.8942,1.5581,0.6318,0.97,7
Micropogonias undulatus,1995-11-29,00920,10.2103,12.7007,2.6274,2.0636,19.4881,9.8792,15.4681,0.5581,2.592,0.8454,1.4187,0.6417,0.9356,7
Micropogonias undulatus,1995-11-29,00921,10.1124,11.9535,2.8202,1.9709,20.2372,10.2523,16.4098,0.5284,2.1218,0.8012,1.3172,0.6745,0.9466,7
Micropogonias undulatus,2017-11-06,199,12.210453119999999,15.0245168,3.39922252,2.0938183200000005,28.399596857999995,12.700494724,21.712377200000002,0.7495413,3.08664167,1.0483265596999998,1.2937863299999999,0.833964385,0.7656459499999999,16.5
Micropogonias undulatus,2017-11-06,200,8.886004139999999,10.848824404000002,2.497041502,1.7258604000000002,16.616096634999998,9.584323179999998,13.8542684,0.64391006,1.80240894,0.7822678421,0.9330434999999999,0.5424164709999999,0.74123698,16.5
Micropogonias undulatus,2017-11-06,201,9.675394499999998,11.664711612000001,2.570743412,1.6524486,18.093261546999997,8.648840776,13.363867200000001,0.59708526,1.9968937800000002,0.7433474878999999,1.06392012,0.478462557,0.79320737,16.5
Micropogonias undulatus,2017-11-06,202,9.35872176,11.638551348,2.5317452360000003,1.7728040000000003,16.392738512999998,7.824899691999999,13.184139600000002,0.7574602,2.15489657,0.7348014841999999,1.18827288,0.6025012869999999,0.90822676,16.5
Micropogonias undulatus,2017-11-06,203,11.031062339999998,12.852655908000001,3.004830252,1.8153528799999998,25.078911867000002,9.370817319999999,15.069087600000001,0.78486648,2.41123947,0.7879308566,1.3628194200000001,0.819398369,1.30579574,16.5
Micropogonias undulatus,2017-11-06,209,8.45218596,10.918696904000003,2.268391482,1.8970547200000003,14.919597091999998,8.35004524,13.390618400000001,0.6569245999999999,2.0442881600000002,0.7250199137,0.96293343,0.610125686,0.79149604,16.5
Micropogonias undulatus,2017-11-06,210,9.7301667,11.505625904,2.4997110200000003,2.06235612,18.11729375,8.762635455999998,13.016663600000003,0.7495413,1.9032672800000001,0.7796937446,0.93583944,0.5812212480000001,0.83671118,16.5
Micropogonias undulatus,2017-11-06,211,9.42545442,11.72877072,2.634811844,2.00882044,19.433845250999994,8.646474748,12.930115600000002,0.8078657199999999,1.77858261,0.7464364049,1.06625007,0.67976945,0.8728292499999999,16.5
Micropogonias undulatus,2017-11-06,212,9.186245219999998,10.77291492,2.477194216,1.54887304,16.813030208,10.142931123999999,13.391292800000002,0.57401716,1.84354003,0.6868203068,1.10605893,0.5507236520000001,0.7823088999999999,16.5
Micropogonias undulatus,2017-11-06,213,10.86182742,12.993854256,3.095013534,1.9996314800000001,23.384913413,10.875498459999998,15.773835600000004,0.7801151399999999,2.2384501500000002,0.7790759612,1.04008806,0.645402756,0.95596386,16.5
Micropogonias undulatus,2017-11-06,214,9.877380959999998,12.609611404,2.57747524,1.7820928400000002,18.676558998999994,9.151227388,14.590263600000002,0.6796483999999999,2.07444235,0.7161650183,1.1031298499999997,0.638916327,0.6563910399999999,16.5
Micropogonias undulatus,2017-11-06,215,8.5531233,10.632275552,2.425312714,1.4833517600000001,14.399914294999999,7.373889688,12.319783600000001,0.6517601,2.12409668,0.7295503253,1.07190852,0.5928285419999999,0.8131128400000001,16.5
Micropogonias undulatus,2017-11-06,216,8.259253679999999,10.265025692,2.298220444,1.53199332,14.533668184999998,7.057067271999999,11.179822800000002,0.52416252,2.09678357,0.77825225,1.27634499,0.653368546,0.72394354,16.5
