"","Survey","Date","Location","Time","Sudo","Bodo","SuSal","BoSal","SuTemp","BoTemp","Tide","Depth","LatDeg","Latitude","LongDeg","LONGITUD","Secchi","SuPH","BoPH","Northing","Easting","UTM","Edit","year"
"1","ICHPLAN",1995-01-09,"LSHCB",2138,NA,NA,30,NA,3,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"2","ICHPLAN",1995-01-16,"LSHCB",2325,NA,NA,29,NA,2,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"3","ICHPLAN",1995-01-19,"LSHCB",1736,NA,NA,30,NA,8,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"4","ICHPLAN",1995-01-23,"LSHCB",2012,NA,NA,29,NA,4,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"5","ICHPLAN",1995-01-31,"LSHCB",321,NA,NA,30,NA,2,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"6","ICHPLAN",1995-02-14,"LSHCB",246,NA,NA,27,NA,-1,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"7","ICHPLAN",1995-02-20,"LSHCB",1858,NA,NA,31,NA,3.5,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"8","ICHPLAN",1995-02-28,"LSHCB",200,NA,NA,32,NA,3,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"9","ICHPLAN",1995-03-06,"LSHCB",1849,NA,NA,30,NA,6,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"10","ICHPLAN",1995-03-14,"LSHCB",101,NA,NA,30,NA,7,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"11","ICHPLAN",1995-03-20,"LSHCB",1855,NA,NA,31,NA,9,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"12","ICHPLAN",1995-03-28,"LSHCB",45,NA,NA,31,NA,6,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"13","ICHPLAN",1995-04-06,"LSHCB",2016,NA,NA,30,NA,6,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"14","ICHPLAN",1995-04-12,"LSHCB",108,NA,NA,32,NA,7.5,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"15","ICHPLAN",1995-04-20,"LSHCB",2018,NA,NA,NA,NA,13,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"16","ICHPLAN",1995-04-25,"LSHCB",43,NA,NA,32,NA,12,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"17","ICHPLAN",1995-05-04,"LSHCB",2027,NA,NA,30,NA,11,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"18","ICHPLAN",1995-05-08,"LSHCB",2310,NA,NA,31,NA,12,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"19","ICHPLAN",1995-05-22,"LSHCB",2321,NA,NA,31,NA,17,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"20","ICHPLAN",1995-06-05,"LSHCB",2100,NA,NA,35,NA,19,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"21","ICHPLAN",1995-06-14,"LSHCB",516,NA,NA,NA,NA,17,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"22","ICHPLAN",1995-06-19,"LSHCB",2210,NA,NA,NA,NA,21,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"23","ICHPLAN",1995-06-27,"LSHCB",344,NA,NA,32,NA,32,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"24","ICHPLAN",1995-07-05,"LSHCB",2210,NA,NA,32,NA,24,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"25","ICHPLAN",1995-07-11,"LSHCB",328,NA,NA,31,NA,21,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"26","ICHPLAN",1995-07-18,"LSHCB",2145,NA,NA,NA,NA,24,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"27","ICHPLAN",1995-07-25,"LSHCB",246,NA,NA,32,NA,27,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"28","ICHPLAN",1995-08-03,"LSHCB",2122,NA,NA,34,NA,25,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"29","ICHPLAN",1995-08-09,"LSHCB",302,NA,NA,34,NA,21,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"30","ICHPLAN",1995-08-22,"LSHCB",121,NA,NA,30,NA,23.5,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"31","ICHPLAN",1995-09-06,"LSHCB",147,NA,NA,30,NA,21,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"32","ICHPLAN",1995-09-14,"LSHCB",2008,NA,NA,31,NA,22,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"33","ICHPLAN",1995-09-20,"LSHCB",16,NA,NA,32,NA,18,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"34","ICHPLAN",1995-09-28,"LSHCB",1933,NA,NA,30,NA,18,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"35","ICHPLAN",1995-10-04,"LSHCB",15,NA,NA,30,NA,19,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"36","ICHPLAN",1995-10-12,"LSHCB",1937,NA,NA,31,NA,20,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"37","ICHPLAN",1995-10-17,"LSHCB",2255,NA,NA,27,NA,16,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"38","ICHPLAN",1995-10-24,"LSHCB",345,NA,NA,26,NA,18,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"39","ICHPLAN",1995-10-30,"LSHCB",2118,NA,NA,30,NA,12.5,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"40","ICHPLAN",1995-11-07,"LSHCB",250,NA,NA,29,NA,11,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"41","ICHPLAN",1995-11-13,"LSHCB",1932,NA,NA,29,NA,9.5,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"42","ICHPLAN",1995-11-21,"LSHCB",130,NA,NA,27,NA,8,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"43","ICHPLAN",1995-11-29,"LSHCB",2123,NA,NA,29,NA,7,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"44","ICHPLAN",1995-12-05,"LSHCB",107,NA,NA,28,NA,7,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"45","ICHPLAN",1995-12-14,"LSHCB",2002,NA,NA,28,NA,2,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
"46","ICHPLAN",1995-12-18,"LSHCB",2350,NA,NA,28,NA,3,NA,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995
